RecordId,PropertyAddress,TotalAssessedValue,LotSizeOrArea,SalesPriceFromAssessment,YearBuilt,NumberOfBedrooms,NumberOfBaths,NumberOfPartialBaths
81,1 Hillside Dr,709790,7787,458000,1996,4,3,0
82,50 Ledgewood Dr,967501,6534,695000,1997,4,3,0
83,51 Ledgewood Dr,586303,6534,358000,1997,4,3,0
84,39 Ledgewood Dr,987573,6534,645000,1997,4,3,0
85,22 Sunny Slope,342242,5635,223000,1996,3,3,0
86,25 Sunny Slope,894744,5499,830000,1995,4,2,1
87,11 Legacy Way,482288,5017,320500,1998,4,2,1
88,31 Legacy Way,504068,2773,355000,1997,4,2,1
89,32 Tradition Ln,764069,4483,659000,1998,4,2,1
90,30 Tradition Ln,526142,4513,360000,1998,4,2,1
91,55 Legacy Way,754518,2759,655000,1998,4,2,1
92,44 Tradition Ln,381443,2780,251500,1998,4,2,1
93,42 Tradition Ln,341986,2727,227000,1998,3,3,0
94,39 Tradition Ln,336013,2772,223500,1998,3,3,0
95,54 Legacy Way,758763,2838,595000,1998,4,2,1
96,46 Legacy Way,754518,2772,639000,1998,4,2,1
97,7 Rolling Rdg,941562,4820,785000,1999,5,3,0
98,5 Lark Dr,576137,7015,390000,1998,4,2,1
99,28 Spring View Way,786525,5163,565000,1998,5,3,1
100,30 Rolling Rdg,990460,4912,805500,1998,4,2,1
101,29 Rolling Rdg,1029996,7256,848000,1998,6,4,0
102,27 Rolling Rdg,554557,4491,383000,1998,4,2,1
103,10 Lost Cyn,712788,5929,477500,1999,4,3,1
104,18 Lost Cyn,1121180,7635,775000,1999,4,3,1
105,15 Lost Cyn,749530,6880,478000,1999,4,3,1
106,5 Lost Cyn,770077,9818,496000,1999,3,3,1
107,44 Shea Rdg,1138631,8096,819000,1999,3,3,1
108,43 Shea Rdg,724890,7480,483000,1999,3,3,1
109,41 Shea Rdg,768189,7172,520000,1998,3,3,0
110,21 Shea Rdg,793889,4771,530000,1998,4,3,1
111,61 Rolling Rdg,921701,9123,627500,1999,3,3,1
112,45 Rolling Rdg,1135083,5627,820000,1999,4,3,1
113,9 Radiance Ln,490170,8468,308000,1999,3,2,1
114,11 Radiance Ln,759824,3788,660000,1998,3,2,1
115,37 Radiance Ln,421021,3596,285500,1998,3,2,1
116,65 Radiance Ln,446768,3403,296000,1999,3,2,1
117,83 Radiance Ln,425454,4129,288000,1999,3,2,1
118,32 Radiance Ln,506908,3167,350000,1998,3,2,1
119,7 Dancing Cloud Ct,652489,3263,444000,1999,3,2,1
120,68 Radiance Ln,776102,3941,735000,1999,3,2,1
121,4 Radiance Ln,418802,3549,283500,1999,3,2,1
122,64 Radiance Ln,605552,3584,435000,1999,3,2,1
123,23 Edmonton Way,598592,4153,430000,1998,4,2,1
124,2 Balmoral Pl,944683,5718,745000,1998,4,2,1
125,6 Chandler Pl,966531,3681,860000,1998,5,3,0
126,11 Chandler Pl,956127,5008,780000,1999,4,2,1
127,36 Willowbrook Ln,366797,3266,239000,1996,3,2,1
128,26 Willowbrook Ln,361926,3266,245000,1996,3,2,1
129,24 Willowbrook Ln,343550,3266,228000,1996,3,2,1
130,35 Willowbrook Ln,415322,2520,292500,1996,3,2,1
131,37 Willowbrook Ln,679186,2520,497000,1996,3,2,1
132,43 Willowbrook Ln,293892,2652,192000,1997,3,2,1
133,26 Silkwood Ln,494184,2520,355000,1996,3,2,1
134,11 Silkwood Ln,434490,2576,299500,1995,3,2,1
135,19 Acorn Rdg,786542,2576,710000,1995,3,2,1
136,17 Willowbrook Ln,328480,2622,218000,1996,3,2,1
137,10 Acorn Rdg,786542,2500,644000,1995,3,2,1
138,4 Silkwood Ln,716780,3264,535000,1995,3,2,1
139,51 Acorn Rdg,622953,2576,447500,1997,3,2,1
140,49 Acorn Rdg,768855,2576,600000,1997,3,2,1
141,39 Acorn Rdg,451871,2576,312000,1996,3,2,1
142,37 Acorn Rdg,401176,2576,277000,1996,3,2,1
143,36 Acorn Rdg,795906,2852,645000,1996,3,2,1
144,50 Acorn Rdg,549870,2565,395000,1997,3,2,1
145,56 Acorn Rdg,768855,4672,593000,1996,3,2,1
146,9 Wild Lilac Ln,273173,2852,178000,1997,3,2,1
147,22 Tanglewood Ln,290060,2576,189000,1997,3,2,1
148,24 Tanglewood Ln,768855,2640,625000,1997,3,2,1
149,23 Silkwood Ln,751613,2640,561000,1996,3,2,1
155,6 San Bonifacio,365776,4930,211000,1989,3,2,1
156,8 San Sebastian,511168,6560,360000,1990,4,2,1
157,3 San Sebastian,837361,11550,625000,1990,4,2,1
158,7 San Sebastian,418456,9750,264000,1990,4,2,1
159,17 San Sebastian,419260,7344,262500,1990,4,2,1
160,29 San Sebastian,818190,12375,795000,1990,4,2,1
161,26 San Sebastian,403822,5200,268000,1990,4,2,1
162,32 San Sebastian,821916,5280,665000,1990,4,2,1
163,13 San Bonifacio,472962,9750,320000,1990,4,2,1
164,12 San Bonifacio,354365,6460,231000,1990,4,2,1
165,20 San Bonifacio,424369,5015,240000,1990,4,2,1
166,30 San Bonifacio,403646,4800,227500,1990,3,2,1
167,34 San Bonifacio,324036,5760,207000,1990,4,2,1
168,38 San Bonifacio,524444,6300,360000,1990,4,2,1
169,37 San Sebastian,415490,7680,267500,1990,4,2,1
170,55 San Sebastian,411242,8640,247000,1990,3,2,1
171,67 San Sebastian,376646,7500,245500,1990,3,2,1
172,3 San Simon,418349,8400,265000,1990,4,2,1
173,5 San Simon,544556,7200,350000,1990,3,2,1
174,7 San Simon,392953,5500,266000,1990,4,2,1
175,19 San Simon,292995,6435,183500,1990,4,2,1
176,22 San Simon,406708,6000,272000,1990,4,2,1
177,6 San Simon,389025,5100,242000,1990,4,2,1
178,4 San Simon,341592,5280,205000,1990,4,2,1
179,2 San Simon,356874,5850,194000,1990,3,2,1
180,9 San Ambrosio,395959,8400,255000,1990,4,2,1
181,96 San Bonifacio,376176,7800,217000,1990,4,2,1
182,19 Santa Catalina,460500,6780,276000,1990,4,2,1
183,10 Santa Catalina,856394,4420,705000,1990,4,2,1
184,2 Santa Catalina,796668,5400,670000,1990,3,2,1
185,3 Santa Catalina,709959,6500,510000,1990,3,3,0
186,103 San Bonifacio,496970,6175,350000,1990,4,2,1
187,10 San Timoteo,345309,4293,225000,1989,3,2,1
188,16 San Timoteo,819945,4400,600000,1989,4,2,1
189,18 San Timoteo,994622,4576,800000,1989,3,3,0
190,22 San Timoteo,489869,5850,345000,1989,3,2,1
191,11 San Anselmo,379077,6250,247000,1989,3,3,0
192,8 San Nicholas,855996,6000,615000,1990,3,3,0
193,18 San Nicholas,360018,4968,223000,1990,3,3,0
194,22 San Nicholas,482548,4200,283000,1990,4,2,1
195,70 San Bonifacio,542262,10400,359000,1990,4,2,1
196,54 San Bonifacio,415910,4860,271000,1990,3,3,0
197,46 San Bonifacio,379076,4980,247000,1990,4,2,1
198,42 San Bonifacio,463361,7350,273000,1990,3,3,0
199,8 San Anselmo,945724,4750,720000,1989,3,3,0
200,16 San Anselmo,1003495,4420,749000,1989,3,3,0
201,2 San Mateo,382356,5700,217500,1989,4,2,1
202,4 San Mateo,638854,5700,420000,1989,3,3,0
203,10 San Mateo,1028319,4420,730000,1989,3,3,0
204,6 San Tomas,517397,5100,283000,1989,3,3,0
205,8 San Tomas,442739,5096,260500,1989,3,3,0
206,12 San Tomas,806543,4368,602000,1989,3,2,1
207,14 San Tomas,406193,4524,239000,1992,3,3,0
208,20 San Tomas,363719,4648,214500,1992,3,2,1
209,22 San Julian,587249,7000,316000,1990,3,3,0
210,42 San Mateo,502573,6300,274000,1990,3,3,0
211,46 San Mateo,444432,4940,246500,1990,4,2,1
212,6 San Patricio,651741,5985,459000,1990,3,3,0
213,16 San Patricio,399795,4785,260500,1990,3,2,1
214,18 San Patricio,352214,4840,225000,1990,3,3,0
215,20 San Patricio,436857,4959,252000,1990,4,2,1
216,28 San Patricio,513125,6600,278000,1990,3,3,0
217,21 San Patricio,393550,7475,221000,1990,4,2,1
218,16 San Ricardo,384091,4320,260000,1990,3,2,1
219,12 San Ricardo,421752,4320,290000,1990,4,2,1
220,6 San Ricardo,803333,4264,735000,1990,4,2,1
221,5 San Ricardo,310388,5500,190000,1990,3,2,1
222,9 San Ricardo,818794,5900,677000,1990,4,2,1
223,11 San Ricardo,391666,5270,226000,1990,4,2,1
224,17 San Ricardo,423934,4950,219000,1990,4,2,1
225,19 San Ricardo,317683,5060,207000,1990,4,2,1
226,21 San Ricardo,357893,5035,206500,1990,4,2,1
227,6 San Pedro,398720,4420,230000,1990,4,2,1
228,33 San Patricio,426776,12000,215000,1990,4,2,1
229,37 San Patricio,355556,9100,204000,1990,3,2,1
230,4 San Ignacio,424724,5229,245000,1990,3,3,0
231,46 Santa Teresa,438363,9100,256500,1990,3,3,0
232,42 Santa Teresa,427793,4940,230000,1990,3,3,0
233,36 Santa Teresa,416580,5100,240500,1990,3,3,0
234,24 Santa Cecelia,563548,9000,374000,1990,4,2,1
235,10 Santa Cecelia,414373,5500,270000,1990,4,2,1
236,4 Santa Cecelia,351274,4400,220000,1990,3,2,1
237,2 Santa Cruz,425528,8040,266500,1990,3,3,0
238,10 Santa Cruz,414370,4565,275000,1990,3,2,1
239,18 Santa Cruz,377596,5500,258000,1990,3,3,0
240,34 San Tomas,495882,5320,277500,1990,3,3,0
241,36 San Tomas,382775,4940,228000,1990,4,2,1
242,12 Santa Teresa,331866,4000,212000,1990,3,3,0
243,28 Santa Teresa,491931,5500,333000,1990,3,3,0
251,30 Sendero,455520,4000,268000,1990,3,3,0
252,16 Sendero,437269,4420,296000,1990,4,2,1
253,12 Sendero,445525,4368,257000,1990,3,3,0
254,19 Telura,547010,6650,282500,1990,3,3,0
255,5 Telura,113549,4200,266000,1990,3,2,1
256,11 Ganadero,368330,5880,240000,1990,3,3,0
257,37 Sendero,674462,4816,480000,1990,3,3,0
258,20 Via Mirage,333367,3400,200864,1992,3,2,1
259,4 Via Mirage,909309,2975,715000,1993,4,3,0
260,12 Via Bonita,457921,4000,322500,1992,3,2,1
261,38 Reata,414611,4200,235000,1991,4,2,1
262,30 Reata,424893,4428,250000,1991,3,3,0
263,10 Reata,389598,4620,244000,1991,4,2,1
264,1 Sillero,519607,5280,277500,1990,3,3,0
265,23 Sillero,864884,4500,765000,1990,4,2,1
266,29 Sillero,429544,4455,243000,1990,4,2,1
267,23 Reata,412633,4250,212000,1991,5,3,0
268,27 Reata,874606,4600,640000,1991,4,2,1
269,29 Reata,375150,4700,209500,1991,3,2,1
270,35 Reata,363726,4400,237000,1991,3,2,1
271,43 Reata,378233,5100,227000,1991,3,3,0
272,36 Sillero,419889,4250,219000,1990,4,3,1
273,28 Sillero,454121,4250,247000,1990,3,3,0
274,24 Sillero,414493,4250,239500,1990,3,3,0
275,20 Sillero,542998,4500,374000,1990,3,3,0
276,16 Sillero,360810,4500,222500,1990,3,3,0
277,14 Sillero,538149,4500,379000,1990,4,2,1
278,45 Sillero,428228,4200,257000,1990,3,3,0
279,61 Sillero,837292,6000,760000,1990,3,2,1
280,46 Sillero,327327,4500,180000,1990,3,2,1
281,3 Rodaja,356261,4100,214000,1991,3,2,1
282,23 Amantes,421414,5000,253000,1992,3,3,0
283,19 Amantes,922298,5000,675000,1992,4,3,0
284,24 Amantes,486264,5000,251000,1992,5,3,0
285,22 Sepulveda,406580,5000,244000,1990,4,3,0
286,24 Sepulveda,709961,5000,500000,1990,3,3,0
287,36 Sepulveda,367566,5000,225000,1990,4,2,1
288,40 Sepulveda,472391,5500,270000,1990,4,3,0
289,2 Charca,423069,6500,265000,1990,3,3,0
290,4 Charca,1147561,6000,950000,1990,5,3,0
291,12 Charca,544573,5000,320500,1990,3,3,0
292,42 Amantes,554854,6600,271000,1990,4,2,1
293,9 Charca,946596,6000,735000,1990,3,3,0
294,6 Amantes,980555,6000,895000,1991,3,3,0
295,15 Sequero,565650,5000,340000,1991,4,3,0
296,13 Sequero,980555,5000,765000,1991,3,3,0
297,3 Sequero,554524,5000,285000,1991,4,3,0
298,1 Sequero,577888,8310,340000,1991,4,3,0
299,13 Roquedo,116492,5000,243000,1992,3,3,0
300,11 Roquedo,522649,5000,307500,1992,4,3,0
301,12 Roquedo,579327,5000,400000,1992,3,3,0
302,20 Roquedo,436910,6000,260000,1992,4,2,1
303,10 Amantes,406488,5000,240000,1992,4,3,0
304,7 Sepulveda,519853,5000,345000,1992,4,3,0
305,16 Talega,464586,5000,255000,1990,4,2,1
306,8 Talega,483238,5000,290000,1990,4,3,0
307,4 Talega,837756,6600,590000,1992,3,3,0
308,1 Talega,577793,6300,316000,1990,3,3,0
309,9 Talega,510495,5329,306500,1990,3,3,0
310,11 Talega,473237,5051,284000,1990,4,2,1
311,13 Talega,667220,4863,470000,1992,3,3,0
312,15 Talega,451638,4863,274000,1990,4,3,0
313,25 Talega,785778,5783,575000,1990,4,2,1
314,36 Talega,414893,5000,254000,1993,3,3,0
315,22 Talega,445987,5000,254500,1992,3,3,0
316,15 Sepulveda,436753,6000,279000,1990,3,3,0
317,21 Sepulveda,458224,5000,260500,1990,3,3,0
318,37 Sepulveda,383905,5000,235000,1990,4,3,0
319,39 Sepulveda,435267,6000,237000,1990,4,2,1
320,21 Segada,561981,8978,344000,1994,4,4,0
321,22 Segada,606960,9100,325000,1994,4,3,0
322,28 Segada,537478,7605,329000,1994,4,4,0
323,30 Segada,1038597,7475,760000,1994,5,4,1
324,34 Segada,723978,6466,450000,1994,5,4,1
325,36 Segada,753416,6930,510000,1994,4,4,0
326,1 Siega,596959,10000,348000,1994,5,4,1
327,1 Arado,866154,13320,610000,1994,4,4,0
328,32 Arado,617628,9000,352000,1994,5,4,1
329,20 Arado,753981,6448,531000,1994,4,4,0
330,24 Arado,538671,6565,300500,1994,4,3,0
331,50 Mancera,926927,6300,640000,1990,4,3,1
332,36 Sembrado,840030,7600,580000,1990,4,3,1
333,20 Sembrado,733403,6100,410000,1990,4,4,1
334,12 Sembrado,629126,6000,345000,1990,4,3,1
335,8 Sembrado,1073771,6324,900000,1990,4,3,1
336,32 Mancera,893133,6527,629000,1990,3,4,0
337,19 Segada,481931,7616,295000,1992,4,3,0
338,1 Segada,531894,9100,310000,1992,4,4,0
339,4 Segada,770407,7020,469000,1992,4,4,0
340,19 Serna,1171755,9300,758500,1994,4,4,0
341,11 Serna,465915,7200,285500,1993,4,3,0
342,24 Serna,585703,7475,358000,1992,4,4,0
343,9 Via Floria,431362,3450,292000,1993,3,2,1
344,39 Via Caseta,466666,2700,316000,1994,3,2,1
345,31 Via Caseta,661417,2975,484000,1994,3,2,1
346,23 Via Caseta,519686,2700,366000,1994,4,3,0
347,19 Via Caseta,580655,3150,425000,1994,3,2,1
348,7 Via Caseta,306942,2850,200000,1994,2,3,0
349,24 Via Caseta,329054,3150,204000,1994,4,3,0
350,26 Via Caseta,316262,3600,196000,1994,3,2,1
351,3 Via Encanto,818794,4000,650000,1994,3,2,1
352,4 Via Encanto,556690,4000,400000,1994,4,3,0
353,7 Via Floria,399026,2700,260000,1993,4,3,0
354,19 Via Encanto,425971,2975,300000,1994,2,3,0
355,31 Via Encanto,496970,3200,350000,1993,3,2,1
356,30 Via Helena,892663,4400,807000,1993,4,3,0
357,24 Via Helena,331496,4000,216000,1993,3,2,1
358,22 Via Helena,353371,3500,214000,1993,4,3,0
359,14 Via Helena,727015,2975,532000,1993,4,3,0
360,14 Via Geneva,477089,3150,336000,1993,3,2,1
361,15 Via Geneva,732855,2975,547000,1993,2,3,0
362,2 Via Helena,325663,4050,199500,1993,3,2,1
363,1 Via Helena,461471,2975,325000,1993,4,3,0
364,4 Caminito Altura,1090921,4750,1015000,2001,5,4,1
365,8 Corazon Del Oro,1001905,4816,757500,2001,5,2,1
366,6 Calle Fortuna,457921,3200,322500,1994,3,2,1
367,35 Via Amor,411771,3200,290000,1994,3,2,1
368,10 Calle Verano,456502,3200,320000,1994,4,2,1
369,4 Calle Bella,473165,3400,320000,1994,3,2,1
370,32 Calle Verano,404673,5250,285000,1996,3,2,1
371,42 Calle Verano,303682,4950,194000,1994,3,2,1
372,31 Calle Verano,604022,3200,442000,1996,3,2,1
373,39 Calle Estero,292680,5400,182500,1995,4,2,1
374,1 Via Espiritu,489204,5250,319000,1995,4,2,1
375,25 Calle Estero,620085,4500,423000,1995,3,2,1
376,34 Calle Bella,372020,3600,230000,1994,4,2,1
377,21 Calle Fortuna,528987,3200,380000,1994,3,2,1
378,11 Calle Fortuna,290431,3200,180000,1994,4,2,1
379,53 Calle Verano,418397,3800,289000,1995,3,2,1
380,42 Calle Estero,435912,3200,307000,1995,3,2,1
381,34 Calle Estero,389446,3200,269000,1995,3,2,1
382,32 Calle Estero,471991,3200,320000,1995,3,2,1
383,10 Calle Estero,293896,3655,175000,1995,3,2,1
384,22 Calle Fortuna,471911,3200,339000,1994,3,2,1
385,20 Calle Fortuna,411313,3200,284000,1994,4,2,1
386,11 Calle Arcos,272846,3280,174500,1996,3,2,1
387,9 Calle Arcos,518121,3200,372500,1996,3,2,1
388,18 Via Marguesa,701371,2600,523500,1995,3,2,1
389,21 Via Marguesa,373951,4240,258500,1995,3,2,1
390,24 Calle Arcos,356357,3864,236500,1996,4,2,1
391,16 Calle Arcos,289775,3864,178000,1996,4,2,1
392,8 Calle Arcos,310504,3680,185500,1996,3,2,1
394,71 Berlamo,491994,5335,319500,1998,5,2,1
395,43 Berlamo,982678,8461,930000,1998,5,2,1
396,9 Berlamo,539149,4633,346500,1999,5,2,1
397,66 Berlamo,508156,6828,321500,1998,4,2,1
398,4 Berlamo,998784,4713,815000,1999,4,3,1
399,18 Santa Sophia,987984,4536,915000,1999,6,4,0
400,26 Santa Sophia,829683,4621,596000,1999,6,4,0
401,30 Santa Sophia,913699,4109,820000,1999,5,3,0
402,42 Santa Sophia,692708,5479,462500,2001,6,4,0
403,15 Santa Arletta,991167,5159,905000,2000,6,4,0
404,37 Santa Sophia,814364,5020,585000,2001,5,2,1
406,8 Velarde Ct,414213,3101,286000,1997,4,2,1
407,15 Monticello Ln,648397,2619,515000,1997,3,2,1
408,17 Calellen Ct,433073,5382,305000,1998,3,2,1
409,7 Velarde Ct,412764,3281,285000,1997,4,2,1
410,3 Galisteo Dr,431593,5442,298000,1997,4,2,1
411,16 Hidalgo Ln,419863,2766,290000,1997,3,2,1
412,12 Hidalgo Ln,520635,2750,374000,1997,3,2,1
413,10 Hidalgo Ln,759824,2750,620000,1997,4,2,1
414,1 Hidalgo Ln,443178,3459,306000,1997,3,2,1
415,12 El Vado Dr,580875,2600,420000,1998,4,2,1
416,6 El Vado Dr,590354,2600,432000,1997,3,2,1
417,9 Galisteo Dr,405525,2792,280000,1998,4,2,1
418,21 Galisteo Dr,346565,2906,230000,1997,4,2,1
419,29 Twilight Ln,690825,3198,622000,1997,3,2,1
420,27 Twilight Ln,718437,3168,620000,1999,4,2,1
421,1 Breezy Mdws,463474,3283,325000,1998,4,2,1
422,9 Breezy Mdws,416677,3015,260000,1998,5,2,1
423,11 Breezy Mdws,388523,3015,252500,1998,3,2,1
424,15 Breezy Mdws,556690,3015,400000,1998,4,2,1
425,19 Breezy Mdws,615667,3015,415000,1998,3,2,1
426,21 Breezy Mdws,393275,3386,261000,1998,4,2,1
427,28 Twilight Ln,726199,3285,645000,1999,3,2,1
428,17 Twilight Ln,356959,3432,237000,1999,3,2,1
429,15 Twilight Ln,428810,3150,302000,1998,3,2,1
430,19 Evening Canyon Rd,366173,3420,241000,1998,3,2,1
431,18 Breezy Mdws,619475,3015,445000,1998,3,2,1
432,12 Breezy Mdws,696949,3015,510000,1998,3,2,1
433,10 Breezy Mdws,598592,3015,430000,1998,4,2,1
434,6 Breezy Mdws,368713,3015,245000,1998,3,2,1
435,16 Daybreak Ln,363438,3285,241500,1998,3,2,1
436,12 Daybreak Ln,444288,3375,313000,1998,3,2,1
437,2 Daybreak Ln,332703,3795,221000,1998,3,2,1
438,3 Serene Canyon Rd,430714,3423,284500,1998,4,2,1
439,5 Serene Canyon Rd,777157,3504,650000,1998,4,2,1
440,21 Serene Canyon Rd,403821,3376,268000,1998,4,2,1
441,26 Via Hacienda,949885,4400,798000,1999,4,3,1
442,10 Via Hacienda,772114,4400,565000,1999,4,2,1
443,5 Via Pelayo,491194,4823,332500,1999,4,2,1
444,7 Via Pelayo,479301,4400,300000,1999,4,3,1
445,25 Via Pelayo,658451,4706,473000,1999,3,2,1
446,31 Valeroso,469770,4866,318000,1999,4,2,1
447,33 Valeroso,526050,5683,326000,1999,4,2,1
448,3 Via Hacienda,661237,5183,475000,1999,4,2,1
449,7 Via Hacienda,828158,4814,685000,1998,3,2,1
450,9 Via Hacienda,492244,4444,330000,1998,4,3,1
451,10 Via Corbina,840440,4450,615000,1999,4,2,1
452,14 Via Corbina,586656,4597,363000,1999,4,2,1
453,12 Via Pelayo,900964,4400,600000,1999,4,2,1
454,15 Via Villario,533050,5076,324000,1999,4,2,1
455,5 Via Villario,530340,10913,359000,1999,4,2,1
456,23 Corte Las Rosas,929808,4748,855000,2000,5,4,0
457,16 Corte Las Rosas,707162,4828,508000,2002,5,3,0
458,14 Corte Las Rosas,685399,4456,477000,2002,4,3,1
459,10 Arbor Walk Ln,908153,5989,860000,2000,3,2,1
460,9 Garden View Ct,701501,4627,481500,2000,5,4,0
461,18 Garden View Ct,911371,5270,984000,2000,4,3,1
462,3 Teaberry Ln,742335,4593,530000,2001,5,4,0
463,9 Teaberry Ln,948719,5328,955000,2001,5,3,0
464,15 Teaberry Ln,646099,5854,455500,2001,4,3,1
465,6 Teaberry Ln,692186,4752,486000,2001,6,4,0
466,59 Via Villario,766275,6010,538000,2001,5,4,0
467,23 Via Villario,770638,4989,543000,2001,5,3,0
468,34 Arbor Walk Ln,654761,4783,452500,2001,5,4,1
469,33 Teaberry Ln,845712,7004,549500,2001,5,4,0
470,37 Teaberry Ln,746041,5824,496000,2001,6,4,0
471,1 Santa Elena,400285,8450,235000,1990,4,3,1
472,21 San Carlos,387948,7950,220000,1989,3,2,1
473,12 San Carlos,456216,5000,315000,1990,3,2,0
474,10 San Andres,576578,6000,303500,1989,3,3,0
475,36 Santa Catrina,527385,6875,350000,1989,4,3,0
476,18 Santa Catrina,577183,10010,320000,1989,3,3,0
477,16 Santa Catrina,470756,9900,281000,1989,4,3,0
478,14 Santa Catrina,532800,8850,268000,1989,4,2,1
480,7 Santa Catrina,666369,5350,455000,1989,3,3,0
481,11 Santa Catrina,354497,5350,217000,1989,4,3,0
482,13 Santa Catrina,430770,5200,236500,1989,3,2,0
483,19 Santa Catrina,334894,5238,205000,1989,4,3,0
484,21 Santa Catrina,477598,4900,298000,1989,3,3,0
485,1 Via Honesto,731261,7500,515000,1990,3,3,0
486,14 Santa Isabel,628687,5350,396000,1990,3,3,0
487,5 Santa Isabel,865612,5510,755000,1990,3,2,1
488,21 Santa Isabel,472696,4750,290500,1990,4,3,0
489,29 Santa Isabel,528128,6175,357500,1990,3,3,0
490,31 Calle Del Rio,581189,5603,417500,1997,3,2,1
